kurs_usd;kurs_pl;data;godzina
1842.75;8289.90;2023-02-15;09:46:13
1842.75;8289.90;2023-02-15;09:48:07
1846.50;8289.90;2023-02-15;10:20:42
1846.05;8289.90;2023-02-15;10:26:21
1845.45;8289.90;2023-02-15;10:47:06
1845.95;8189.90;2023-02-15;13:16:40
1845.90;8489.90;2023-02-15;13:26:40
1842.55;8289.90;2023-02-15;14:39:13
1842.35;8089.90;2023-02-15;14:44:07
1842.50;8289.90;2023-02-15;14:49:02
1846.40;8289.90;2023-02-15;14:50:59
1846.40;8289.90;2023-02-15;14:52:09
1847.05;8289.90;2023-02-15;14:54:40
1846.30;8187.30;2023-02-16;12:54:53
1845.95;8187.30;2023-02-16;15:17:39
1843.25;8187.30;2023-02-16;15:23:01
1836.75;8267.46;2023-02-17;13:42:33
1854.35;8312.36;2023-02-20;08:48:33
1854.55;8312.36;2023-02-20;08:59:15
1854.85;8312.36;2023-02-20;09:23:13
1849.90;8306.08;2023-02-20;19:59:57
1850.30;8306.08;2023-02-20;20:36:26
1842.25;8306.08;2023-02-21;11:59:53
1844.40;8214.90;2023-02-22;08:33:40
1833.75;8230.67;2023-02-23;10:59:11
